user,system,children_user,children_system,iowait,time,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
0.0,0.0,0.0,0.0,0.0,1.1920928955078125e-06,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,KNP
0.94,0.05,0.0,0.0,0.0,1.0009243488311768,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,KNP
0.97,0.05,0.0,0.0,0.0,1.0318076610565186,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,KNP
1.0,0.06,0.0,0.0,0.0,1.064237117767334,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,KNP
1.03,0.06,0.0,0.0,0.0,1.097665786743164,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,KNP
1.06,0.06,0.0,0.0,0.0,1.1322107315063477,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,KNP
1.1,0.06,0.0,0.0,0.0,1.167776107788086,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,KNP
1.13,0.06,0.0,0.0,0.0,1.2045183181762695,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,KNP
1.17,0.06,0.0,0.0,0.0,1.2423686981201172,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,KNP
1.21,0.06,0.0,0.0,0.0,1.2814087867736816,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,KNP
